canonical_op,kb_nano_path,kb_nano_class,notes
chunk_rwkv7,tasks/baseline/L1/chunk_rwkv7.py,ChunkRWKV7,direct
fused_recurrent_gla,tasks/baseline/L1/fused_recurrent_gla.py,FusedRecurrentGLA,direct
fused_recurrent_retention,tasks/baseline/L1/fused_recurrent_retention.py,FusedRecurrentRetention,direct
fused_recurrent_rwkv7,tasks/baseline/L1/fused_recurrent_rwkv7.py,FusedRecurrentRWKV7,direct
allreduce,tasks/baseline/L1/allreduce.py,AllReduce,direct
identity,passthrough,,nn.Identity is no-op
flatten,passthrough,,torch builtin
arange,passthrough,,torch builtin
cat,passthrough,,torch builtin
stack,passthrough,,torch builtin
split,passthrough,,torch builtin
chunk,passthrough,,torch builtin
gather,passthrough,,torch builtin
scatter,passthrough,,torch builtin
masked_fill,passthrough,,torch builtin
masked_select,passthrough,,torch builtin
index_select,passthrough,,torch builtin
where,passthrough,,torch builtin
topk,passthrough,,torch builtin (topk-of-tensor); MoE topk uses GroupedTopK L1
argmax,passthrough,,torch builtin
argmin,passthrough,,torch builtin
cumsum,passthrough,,torch builtin
cumprod,passthrough,,torch builtin
exp,passthrough,,torch builtin
log,passthrough,,torch builtin
rsqrt,passthrough,,torch builtin (used inside RMSNorm class)
sqrt,passthrough,,torch builtin
pow,passthrough,,torch builtin
clamp,passthrough,,torch builtin
abs,passthrough,,torch builtin
sign,passthrough,,torch builtin
sin,passthrough,,torch builtin
cos,passthrough,,torch builtin
outer,passthrough,,torch builtin
logsumexp,passthrough,,torch builtin
roll,passthrough,,torch builtin
flip,passthrough,,torch builtin
tril,passthrough,,torch builtin
triu,passthrough,,torch builtin
ones_like,passthrough,,torch builtin
zeros_like,passthrough,,torch builtin
full_like,passthrough,,torch builtin
eye,passthrough,,torch builtin
repeat_interleave,passthrough,,torch builtin
pad,tasks/baseline/L1/tensor_ops.py,Pad,direct
one_hot,tasks/baseline/L1/tensor_ops.py,OneHot,direct
log_softmax,passthrough,,torch builtin
pixel_shuffle,passthrough,,torch builtin (used by ViT in interpolation; rarely a kernel target)
zero_pad_2d,passthrough,,torch builtin (composes pad)
encoder_decoder_cache,tasks/baseline/L4/recurrent_cache.py,RecurrentCache,partial - kb-nano has paged KV cache, not HF EncoderDecoderCache; semantically equivalent to two stacked KV caches
ctc_loss,training_only,,inference path does not use loss
cross_entropy,training_only,,
binary_cross_entropy,training_only,,
mse_loss,training_only,,
attention_dispatcher,multi_path,,ALL_ATTENTION_FUNCTIONS dispatches to one of: sdpa/flash_attention_2/eager/flex - kb-nano supports sdpa (DenseAttention) and flash_attention (FlashAttn*); flex_attention is unsupported but rarely the only path
